trigger,name,body
uhaul confirmation,UHAUL Confirmation Email to send to moving helper jobs,"Confirming your job on {move_date} at {move_time}.

Below is our advice on pads again, as they are so important to have if we are loading for you. And if you can please have the 6 digit payment code ready to give us when we are finished. Thank you! 

Payment:
You paid Moving Helper for the time you selected and in return they gave you a “payment code” (6 digits, all numbers) for you to give to us. We enter this code on our side to show we have completed your job and get our percentage released to us. If you have it ready to give the guys when they are done helping you, we would really appreciate it. If you can not find your code you can retrieve it by calling 1-866-748-4110 and pressing 2, then 1 to hear a recording of the code or email support@movinghelp.com and ask them to resend your code. Thank you.

Pads:
If we are loading a truck for you furniture pads, which you can rent when you rent your truck, are very important to protect everything. We recommend counting all your pieces of furniture down to the smallest end table, then adding any pictures and mirrors, and multiplying that total by 1.25, as some items like couches and dressers take 2 pads. We can improvise with your blankets, sheets, etc. to help protect your furniture, but everything must be covered to prevent friction damage (scratches) during the drive. It is always better to have extra pads than scratched furniture."
labor only confirmation,Labor Only confirmation email. Send to all labor only moves,"Hi {customer_name},

Confirming your job tomorrow at {move_time}.

Below is our advice on pads, as they are so important to a safe move. Along with cash or check, we also accept Venmo, Zelle, Cash App, or PayPal (Friends & Family). Please make checks payable to R Whipple.

— DC Top Choice Movers Team

Pads: Furniture pads, which you can rent when you rent a truck, are very important to protect everything. We recommend counting all your pieces of furniture down to the smallest end table, then adding pictures and mirrors, and multiplying that total by 1.25, as some items like couches and dressers take 2 pads.

We can improvise with your blankets, sheets, etc. to help protect your furniture, but everything must be covered to prevent friction damage (scratches) during the drive.

www.DCTopChoiceMovers.com"
full service confirmation,Full Service Confirmation  send to all jobs where we bring truck,"Hi {customer_name},

Confirming your job tomorrow with a  x–x arrival window. Balance is do Zelle, Venmo, or PayPal. 

Thanks!"
too late intro,Too Late Email,"Hi {customer_name},

I help Robin through email and wanted to shoot you an introductory email since he cannot call you right now. If you can, please answer the questions below so we can get your move all set up. If not tonight since it is late, we will get to your response tomorrow to get your move all set up for you.

Thanks -- Amy

Automated Message:

Robin from DC Top Choice Movers here. I am currently on a job but wanted to touch base with you about your upcoming move. Is email a good way to gather information about your move so we can help you? We really appreciate it if you can email us some details. If we need to talk, I will make time when I am not working with another customer. Thank you.

Any information you can provide by email is greatly appreciated. While I may not have time to return voicemails until after jobs are complete, I try to respond to emails during lunch breaks or whenever I have a chance, whether late at night or early in the morning. Additionally, I have an assistant and a family member who help with emails, so you often get a fast response.

I do try to return voicemails within 24 hours, but I greatly appreciate email communication.

-- Robin

www.DCTopChoiceMovers.com

703-679-7761

The info that we already have:

[Please insert any known information here]

The info that will help your move go smoothly and efficiently:

Preferred Timeframes:

On weekdays, we offer start times of 8 AM, 9 AM or 10 AM or afternoon start times of 1 PM, 2 PM, or 3 PM.
We don't subcontract and only use our own set of movers, so on weekends and short notice, we may have limited availability. If possible, please give us more than one preferred time or a window that will work for you, and we will do our best to accommodate.
Please provide a 30-minute arrival window to account for DC area traffic. If you are on a tight schedule, let us know so we can plan to arrive early.
The Basics:

A quick list of furniture and items, as well as an estimate of the number and size of totes or boxes, is very helpful. This helps us ensure you have the right size truck and avoid additional costs.
Are we loading, unloading, or both?
The address(es) we will be helping at.
Will there be any extremely large or delicate furniture or other items that require more than a furniture pad?
What is your heaviest item? 
Is there anything over 125/150 lbs that will need to go up or down stairs?
Will you need help with any assembly or disassembly?
What size is your truck, and if we are loading, how many pads did you rent?
Does the terrain present special challenges (stairs, elevators, long hallways, hills, narrow or uneven walks)?
Providing this information allows us to plan for any unexpected obstacles and ensure a smooth move. If you are unsure how long your job will take, we can estimate the time needed with the above details. If you are unable to provide this information, please allow us to schedule you as the second job in the afternoon so you can have your team for as long as necessary.

Additional useful info:

Pads:

Furniture pads, which you can rent when you rent a truck, are crucial for protecting your items. I recommend counting all your pieces of furniture, including small items, pictures, and mirrors, and multiplying that number by 1.25. This accounts for items like couches and dressers that require two pads. We can improvise with your blankets, sheets, etc., but everything must be covered to prevent friction damage during the drive.
Payment:

You paid Moving Helper for the time you selected, and they provided you with a “payment code” (6 digits, all numbers). Please have this code ready for us when the job is complete, so we can enter it and receive our payment. If you need to retrieve the code, call 1-866-748-4110 and follow the prompts. Having this code ready is greatly appreciated.
Additional Time:

If you need more time, you can call Moving Helper to add more hours. They round up to the nearest hour. Alternatively, we can accept payment directly if you prefer, and we can prorate the time, so you only pay for the time you use. If you think you will need more time than you booked, please let us know so we can block off enough time.
Truck Size:

Renting a truck one size larger than recommended ensures everything fits and reduces stress. It also allows us to pack the truck more efficiently, saving time and money.
Equipment Checklist:

Furniture pads are the #1 tool we need for a safe load. Use 1.25 pads per item of furniture.
Rope, bungees, or ratchet straps are essential for securing items. Ratchet straps are preferred for their ability to hold a load securely.
Dollies are useful for ground floor and elevator moves but not for stair moves. Heavy items should be in small boxes to ensure safety and ease of carrying.
Shrink wrap or tape helps keep drawers from opening and secures blankets. If unavailable, we can remove drawers and carefully carry furniture to the truck, where we will drape furniture pads over everything.
We are professional movers and have a few tricks up our sleeves to go above and beyond for our customers. However, due to our contract as ""labor only"" with U-Haul, we are prohibited from providing any equipment. We know how to use it, though! If you prefer to buy rather than rent any equipment, we can provide links to the least expensive options online.

Thanks, and good luck with all the preparations and packing.

-- Robin

www.DCTopChoiceMovers.com

703-679-7761"
labor only price,Labor Only (No Day of Week – All 3 Options) Request is for labor only but htey do not say what day of the week.,"The day of the week affects price so below are different options for different days of the week

Mon-Thur:
If you want our popular Labor Only Option you rent the truck and furniture pads and we provide 2 pros, dolly, and hand tools then it is $399 for 3 hours and $115/hr pro-rated if over 3 hours minimum. With this option, we can also drive your rental truck for an additional $75.

Fri/Sun:
If you want our popular Labor Only Option you rent the truck and furniture pads and we provide 2 pros, dolly, and hand tools then it is $420 for 3 hours and $115/hr pro-rated if over 3 hours minimum. With this option, we can also drive your rental truck for an additional $75.

Sat:
If you want our popular Labor Only Option you rent the truck and furniture pads and we provide 2 pros, dolly, and hand tools then it is $450 for 3 hours and $115/hr pro-rated if over 3 hours minimum. With this option, we can also drive your rental truck for an additional $75.


Thanks and good luck with your move!"
deposit,Deposit Labor Only,"To book a job we just take a $50 deposit to reserve the date and the balance only after your job is completed. This is nonrefundable for cancellations; however, there is only a $25 fee to reschedule as long as 48 hours' notice is given, and the deposit will be applied to your balance on move day. The deposit can be paid however you like. Balance can be paid by Zelle, Venmo, Cashapp or Paypal sent to friends and family after services are rendered to save on fees and keep our prices low :)

Deposits can be mailed in or sent via Zelle, Venmo, Cashapp or Paypal.

Please note: you must email after deposit to confirm or the date and time will not be reserved.

Thanks and we look forward to taking care of your move!"
deposit full service,Deposit Full Service,"To book a job we just take a 50% deposit to reserve the date and the balance only after your job is completed. This is nonrefundable for cancellations; however, there is only a $25 fee to reschedule as long as 48 hours' notice is given, and the deposit will be applied to your balance on move day. The deposit can be paid however you like. Balance can be paid by personal check or by  Zelle, Venmo, Cashapp or Paypal sent to friends and family after services are rendered to save on fees and keep our prices low :)

Deposits can be mailed in or sent via Zelle, Venmo, Cashapp or Paypal.

Please note: you must email after deposit to confirm or the date and time will not be reserved.

Thanks and we look forward to taking care of your move!"
mon tue thur labor and truck prices they,"Mon, Tue, Thur Labor and Truck Prices They ask for both labor and labor and truck quote fro Fri/Sun and they either do not mention the size of their move or it is studio, one or 2 bedroom apt","For our moving services and a 17-foot truck, it is $825. That includes 2 pros, furniture pads, dolly, truck, gas, 2 dozen pads, up to 15 miles between locations, and up to 5 hours. $125/hr pro-rated to the quarter-hour if over the 5-hour minimum.

OR

Our smallest and most economical option is if you only need your truck loaded or unloaded or even for full moves, save money by getting a rental truck yourself (rental trucks for local moves usually cost $70-90 including furniture pads). We provide 2 pros, dolly, hand tools, and that option is only $375 for 3 hours and $115/hr pro-rated if over 3 hours minimum. 

With this option, we can also drive your rental truck for an additional $75.

For either the labor or the labor and truck service, there are never any additional fees except for time if over the minimum hours. As long as no single item is over 225 lbs and no super delicate, expensive, or antique items need special packing and handling, 2 moving pros will complete the mission for you. If you need more manpower or have special circumstances, let us know and we will do our best to accommodate.

Thanks and good luck with your move!"
packing quote,Packing Quote,"For packing it will be $149 an hour 4 hour minimum, this is labor only and does not include the boxes, paper, tape or anything that is needed for the actual packing, however we can bring that as well for $5 a box which includes packing paper and tape."
fridaysunday truck and labor response th,"Friday/Sunday Truck and Labor Response. They ask for both labor and labor and truck anda moving labor/services quote fro Fri/Sun and they either do not mention the size of their move or it is studio, one or 2 bedroom apt or house","For our moving services and a 17-foot truck, it is $895. That includes 2 pros, furniture pads, dolly, truck, gas, 2 dozen pads, up to 15 miles between locations, and up to 5 hours. $125/hr pro-rated to the quarter-hour if over the 5-hour minimum.

OR

Our smallest and most economical option is if you only need your truck loaded or unloaded or even for full moves, save money by getting a rental truck yourself (rental trucks for local moves usually cost $80-100 including furniture pads). We provide 2 pros, dolly, hand tools, and that option is only $420 for 3 hours and $115/hr pro-rated if over 3 hours minimum. 

With this option, we can also drive your rental truck for an additional $75.

For either the labor or the labor and truck service, there are never any additional fees except for time if over the minimum hours. As long as no single item is over 200 lbs and no super delicate, expensive, or antique items need special packing and handling, 2 moving pros will complete the mission for you. If you need more manpower or have special circumstances, let us know and we will do our best to accommodate.

Thanks and good luck with your move!"
